run_date,code,name,rank,score,price,sector,theme_tags,top_reason,top_risk
2026-06-26,2670,エービーシー・マート,1,8.0,2808.0,,,,
2026-06-26,2666,オートウェーブ,2,7.4,171.0,,,,
2026-06-26,2060,フィード・ワン,3,7.4,1228.0,,,,
2026-06-26,1860,戸田建設,4,7.4,1609.5,,,,
2026-06-26,287A,黒田グループ,5,7.2,1086.0,,,,
2026-06-26,2666,オートウェーブ,1,8.0,171.0,,,,
2026-06-26,2670,エービーシー・マート,2,7.9,2843.5,,,,
2026-06-26,2060,フィード・ワン,3,7.6,1229.0,,,,
2026-06-26,2678,アスクル,4,7.4,1229.0,,,,
2026-06-26,2154,オープンアップグループ,5,6.9,1890.0,,,,
2026-06-26,2670,エービーシー・マート,1,7.9,2844.0,,,,
2026-06-26,2060,フィード・ワン,2,7.7,1236.0,,,,
2026-06-26,2678,アスクル,3,7.7,1225.0,,,,
2026-06-26,2666,オートウェーブ,4,7.6,170.0,,,,
2026-06-26,2154,オープンアップグループ,5,7.4,1905.0,,,,
2026-06-26,6844,新電元工業,1,8.4,4050.0,,,,
2026-06-26,6058,ベクトル,2,7.9,1685.0,,,,
2026-06-26,6707,サンケン電気,3,7.8,11055.0,,,,
2026-06-26,2666,オートウェーブ,4,7.7,170.0,,,,
2026-06-26,8233,高島屋,5,7.7,2569.0,,,,
2026-06-26,6844,新電元工業,1,8.9,4050.0,,,,
2026-06-26,6058,ベクトル,2,8.2,1685.0,,,,
2026-06-26,6707,サンケン電気,3,7.7,11055.0,,,,
2026-06-26,6668,アドテック　プラズマ　テクノロジー,4,7.6,4180.0,,,,
2026-06-26,3950,ザ・パック,5,7.6,1390.0,,,,
2026-06-27,6844,新電元工業,1,8.9,4050.0,,,,
2026-06-27,6058,ベクトル,2,8.3,1685.0,,,,
2026-06-27,6668,アドテック　プラズマ　テクノロジー,3,8.0,4180.0,,,,
2026-06-27,3950,ザ・パック,4,7.8,1390.0,,,,
2026-06-27,6707,サンケン電気,5,7.7,11055.0,,,,
2026-06-28,6844,新電元工業,1,9.0,4050.0,電気機器,半導体|円安メリット|DX|AI,,
2026-06-28,6058,ベクトル,2,8.5,1685.0,サービス業,DX|内需ディフェンシブ,,
2026-06-28,6668,アドテック　プラズマ　テクノロジー,3,7.9,4180.0,電気機器,AI|DX,,
2026-06-28,3950,ザ・パック,4,7.9,1390.0,パルプ・紙,資源,,
2026-06-28,6707,サンケン電気,5,7.6,11055.0,電気機器,AI|DX,,
2026-06-29,6707,サンケン電気,1,8.6,10080.0,電気機器,AI|DX,,
2026-06-29,6844,新電元工業,2,8.4,3955.0,電気機器,半導体|円安メリット|DX|AI,,
2026-06-29,6058,ベクトル,3,8.3,1747.0,サービス業,DX|内需ディフェンシブ,,
2026-06-29,6668,アドテック　プラズマ　テクノロジー,4,8.1,3800.0,電気機器,AI|DX,,
2026-06-29,3950,ザ・パック,5,7.9,1371.0,パルプ・紙,資源,,
2026-06-30,6707,サンケン電気,1,8.4,11375.0,電気機器,AI|DX,,
2026-06-30,6058,ベクトル,2,8.2,1749.0,サービス業,DX|内需ディフェンシブ,,
2026-06-30,6306,日工,3,8.0,935.0,機械,重工,,
2026-06-30,6630,ヤーマン,4,7.9,753.0,電気機器,AI|DX,,
2026-06-30,6276,シリウスビジョン,5,7.8,322.0,電気機器,AI|DX,,
2026-07-01,9502,中部電力,1,8.5,3118.0,電気・ガス業,電力|エネルギー|インフラ,,
2026-07-01,6897,ツインバード,2,7.8,645.0,電気機器,AI|DX,,
2026-07-01,6630,ヤーマン,3,7.8,720.0,電気機器,AI|DX,,
2026-07-01,6668,アドテック　プラズマ　テクノロジー,4,7.6,4195.0,電気機器,AI|DX,,
2026-07-01,8233,高島屋,5,7.6,2445.0,小売業,インバウンド|内需ディフェンシブ,,
2026-07-02,9502,中部電力,1,9.4,3108.0,電気・ガス業,電力|エネルギー|インフラ,,
2026-07-02,2121,ＭＩＸＩ,2,8.6,2806.0,情報・通信業,DX|AI|サイバーセキュリティ,,
2026-07-02,6668,アドテック　プラズマ　テクノロジー,3,8.0,3780.0,電気機器,AI|DX,,
2026-07-02,6897,ツインバード,4,7.9,647.0,電気機器,AI|DX,,
2026-07-02,6707,サンケン電気,5,7.9,11495.0,電気機器,AI|DX,,
2026-07-03,9502,中部電力,1,9.2,3174.0,電気・ガス業,電力|エネルギー|インフラ,,
2026-07-03,2121,ＭＩＸＩ,2,8.7,2813.0,情報・通信業,DX|AI|サイバーセキュリティ,,
2026-07-03,6707,サンケン電気,3,8.0,11015.0,電気機器,AI|DX,,
2026-07-03,6668,アドテック　プラズマ　テクノロジー,4,7.9,3730.0,電気機器,AI|DX,,
2026-07-03,3696,セレス,5,7.6,2096.0,情報・通信業,DX|AI|サイバーセキュリティ,,
